p:LATENT_DIM,p:kl_weight,objective,job_id,m:timestamp_submit,m:timestamp_gather
35,0.021068471867185898,47.176639748909984,0,0.010586261749267578,9.635147333145142
40,0.0005151659775791351,-551.0840469331121,1,9.749046802520752,19.639676809310913
51,0.001239245590136507,-483.40538027280326,2,19.650952100753784,29.753516912460327
43,1.3426954979748766e-05,-801.5216205931791,3,29.764715671539307,40.12440896034241
50,0.001942965341972549,-402.9470446201136,4,40.1353440284729,50.29089951515198
12,0.003147571368765693,10.464333849386692,5,50.30362844467163,60.34978628158569
52,0.033126345971436245,19.54130058474376,6,60.360740661621094,70.56134843826294
30,0.0005381340815212311,-496.5797254462474,7,70.5732204914093,80.99532771110535
54,2.7923997047057316e-05,-984.0258013575824,8,81.00612902641296,91.78947520256042
62,8.408605931377613e-05,-667.4141798420658,9,91.80071306228638,102.45924377441406
35,0.014280215063705904,27.851845562792587,10,102.57338356971741,112.76368927955627
40,0.021123008060537407,-3.4534432349405844,11,113.06584525108337,123.80050015449524
35,0.021208586455646085,45.347396435316575,12,123.92489409446716,134.67599749565125
36,0.020529309241288988,32.384638127640414,13,134.7978332042694,145.00171375274658
