p:LATENT_DIM,p:kl_weight,objective,job_id,m:timestamp_submit,m:timestamp_gather
26,1.1354799355337483e-05,-1150.6881292543264,0,0.010533809661865234,9.849854946136475
63,0.03832080737224923,-171.13490203558342,1,9.969199419021606,19.819400787353516
27,0.0022614517992522658,-502.6005757739238,2,19.833005905151367,29.579688787460327
55,3.250877179682594e-05,-1253.096271319457,3,29.593684911727905,40.26367378234863
26,0.0007079381597658625,-735.7012921795251,4,40.276761293411255,50.380210399627686
63,0.039086956393558074,-273.8141871986694,5,50.3945791721344,61.07121205329895
25,0.00025783155587526377,-884.3831998890131,6,61.082945585250854,72.13937067985535
31,0.00580822532379844,-315.7055380454167,7,72.15262413024902,83.3015787601471
63,1.9511535480208484e-05,-1354.8872885859976,8,83.31403470039368,94.29286122322083
54,0.0004808287312672356,-1061.237307195011,9,94.30547714233398,104.61963772773743
64,0.01900477440548687,-297.23090853588,10,104.74403047561646,114.81080198287964
54,0.03774326149851587,-129.99171491304725,11,115.11898255348206,125.74937725067139
9,0.037734671613344296,-47.08445700057655,12,125.88395285606384,137.04429745674133
5,0.02388224804206353,-78.0792473174489,13,137.19373297691345,147.62480998039246
9,0.01353844815144479,-60.33715913485141,14,147.7515950202942,158.23427844047546
15,0.06958845196507128,-46.75372632121713,15,158.35846257209778,169.94228839874268
22,0.08577996879534815,-76.86458193350593,16,170.07252883911133,181.03142094612122
15,0.010742141435365499,-118.19190966131447,17,181.1571502685547,191.27061104774475
17,0.04578228814627061,-68.20910378654865,18,191.65206384658813,201.72762727737427
5,0.07037079281289711,-77.38840690861048,19,201.85890913009644,211.92697978019714
