p:EPOCHS,p:LATENT_DIM,p:kl_weight,objective,job_id,m:timestamp_submit,m:timestamp_gather
55,14,0.01820837969614331,69.74899865116275,0,0.28016233444213867,12.389491319656372
48,11,0.021767377268525172,71.34763357340812,1,12.43114972114563,22.984896898269653
71,23,0.0010842105385539694,60.80888359855212,2,23.029926776885986,27.6668062210083
42,22,0.03312263261597131,71.65914207346594,3,27.680278301239014,30.753345489501953
61,8,0.035425225134666664,77.77439594057441,4,30.768348217010498,34.89442157745361
75,14,0.01749982550129962,72.80532234930104,5,34.9104790687561,40.14761829376221
33,24,0.014639000571317985,65.59002609364484,6,40.16214084625244,42.92884683609009
48,14,0.004145685257272489,64.60182653274484,7,42.94380807876587,46.519930601119995
44,19,0.016174412480038657,67.00076771338112,8,46.534462690353394,50.10777735710144
96,13,0.0026921782890986434,63.07437713548241,9,50.12281632423401,56.16084671020508
91,23,0.025263887248394904,70.722595120007,10,56.28483319282532,62.25847864151001
78,6,0.014293531448142723,73.30492577877683,11,62.38095784187317,67.45093846321106
79,8,0.010104339699665336,71.22344875082614,12,67.58105421066284,72.94030475616455
55,12,0.043569729788120175,74.5787610453076,13,73.06789231300354,77.01155734062195
96,8,0.034403085832353374,77.3238819252928,14,77.13940858840942,83.22851324081421
57,8,0.030127441503287906,75.01151609824316,15,83.35499501228333,87.37350988388062
11,8,0.03569616513503235,69.14243630357282,16,87.50605845451355,89.15034174919128
52,7,0.03663760897207525,75.81790937033905,17,89.48656344413757,93.2795307636261
40,8,0.03593974092084403,76.31240953686313,18,93.41293835639954,96.52424550056458
35,8,0.03521636769573508,76.1199257672688,19,96.66435050964355,99.57406711578369
64,10,0.035530654321313804,76.82746556953848,20,99.7061882019043,104.06065130233765
94,11,0.03429265681791379,77.19923354553389,21,104.19362330436707,110.3753616809845
97,14,0.03455991995788516,76.92315367834061,22,110.51232051849365,116.60849118232727
61,7,0.033683769925033615,76.292000709948,23,116.74500155448914,121.12585806846619
96,19,0.034035299919551135,73.83119203610022,24,121.26944518089294,127.46441888809204
57,8,0.035382804819605665,77.79908833101038,25,127.60284924507141,131.72182512283325
53,8,0.035359112147587926,75.28246417544672,26,131.86073327064514,135.64269995689392
56,8,0.035596279231190915,74.64322918414558,27,136.03946948051453,140.06567072868347
57,8,0.03475011405143192,75.94400729191845,28,140.20787286758423,144.2145278453827
95,8,0.0462206272139363,79.07378997516467,29,144.36315608024597,150.38198852539062
