p:BATCH_SIZE,p:EPOCHS,p:LATENT_DIM,objective,job_id,m:timestamp_submit,m:timestamp_gather
34,31,17,-97.35478099168049,0,0.011861085891723633,3.4411511421203613
44,36,19,-8.414627789502788,1,3.4544739723205566,6.417377948760986
34,30,23,-101.9219684746334,2,6.430505037307739,9.83962607383728
26,68,9,46.433926560418335,3,9.854697465896606,15.51037311553955
40,65,10,4.8342111930446805,4,15.52640962600708,19.883482694625854
34,49,6,49.34993447873315,5,19.89908194541931,25.03239917755127
19,46,19,-116.67355377410983,6,25.048003673553467,29.92756700515747
24,72,7,30.66528148687813,7,29.943319082260132,36.486984729766846
22,65,11,65.60517042196662,8,36.50171494483948,42.34342813491821
42,92,12,24.153190055314226,9,42.49040627479553,1542.4036786556244
13,45,11,21.395259921229012,10,1542.5230267047882,1548.03844165802
22,66,13,5.621268894187693,11,1548.1612598896027,1553.8464150428772
21,64,10,39.94120420936253,12,1553.9699592590332,1559.2693192958832
34,17,6,5.9610290899877185,13,1559.392094373703,1562.185500383377
28,66,11,13.060237137284275,14,1562.3067739009857,1567.3163180351257
40,49,6,42.889493928524175,15,1567.4472284317017,1572.1791713237762
22,99,11,-6.849189560722692,16,1572.3066203594208,1580.0387794971466
