p:EPOCHS,p:LATENT_DIM,p:kl_weight,objective,job_id,m:timestamp_submit,m:timestamp_gather
85,9,0.03723990029939315,55.57430854447727,0,0.09002351760864258,5.457226991653442
42,15,0.046222562433504075,54.013109045461064,1,5.470552682876587,8.69483995437622
19,20,0.015987626492112956,49.776507020380606,2,8.709275245666504,10.918574094772339
79,18,0.02294580793100465,53.51049443875038,3,10.932561874389648,16.08332109451294
34,13,0.044318419830527506,52.36561400675706,4,16.097228527069092,19.015640020370483
67,9,0.027818775413054404,54.501137728957374,5,19.03062653541565,23.77492094039917
16,11,0.04605681109107126,51.53848145159565,6,23.789480209350586,25.84637475013733
94,4,0.04742027458497404,54.191439301173695,7,25.86175036430359,31.825600385665894
64,8,0.04574453106705721,55.78600664507225,8,31.839906930923462,36.35274815559387
15,11,0.036947741827559014,51.24456760133642,9,36.51626229286194,38.53474950790405
63,8,0.003830650369956941,49.219311839431384,10,38.65526080131531,43.088358640670776
59,8,0.037011734065420236,55.14205025656791,11,43.20901131629944,47.469104290008545
66,10,0.04492448854016225,56.29983385050913,12,47.591185331344604,52.211405992507935
65,11,0.04500540596558351,54.615680456435086,13,52.51348567008972,57.16001582145691
94,10,0.04446927594898934,56.8299938425032,14,57.29000210762024,63.39339208602905
96,10,0.04885748513266928,56.597221198950585,15,63.528430461883545,69.78880167007446
94,13,0.04363433998881131,55.337038157837796,16,69.91839122772217,76.15122675895691
94,8,0.0450665047055808,57.08879407350334,17,76.29109406471252,82.7361650466919
91,6,0.044722015673161565,54.56241485643692,18,82.87350082397461,88.8880512714386
94,7,0.04501735260802963,55.851649501216315,19,89.02229928970337,95.23746156692505
93,8,0.04557963880704216,56.041493543831564,20,95.37750101089478,101.56585884094238
95,8,0.043494889612361,55.65287617612239,21,101.70215725898743,108.15340089797974
94,11,0.048369835820573734,56.221605142639206,22,108.29246616363525,114.60112380981445
94,8,0.044137756720270725,56.555611687526564,23,114.73574733734131,121.00979232788086
97,8,0.04758863290652461,55.593367797591675,24,121.14443945884705,127.5941150188446
94,8,0.0472826757662502,56.16835979616075,25,127.72971272468567,134.06309342384338
92,10,0.04433378137805043,56.85935833217142,26,134.20020055770874,140.4109342098236
89,10,0.0431659482038815,56.3858548800207,27,140.8174216747284,146.953453540802
92,10,0.010902755037382104,52.83703416301393,28,147.09003233909607,153.27756261825562
92,10,0.03846055534833366,57.00121983375428,29,153.41816973686218,159.62258005142212
