p:BATCH_SIZE,p:EPOCHS,p:LATENT_DIM,objective,job_id,m:timestamp_submit,m:timestamp_gather
10,69,14,-70.1482198944629,0,0.012367486953735352,9.328660011291504
20,77,22,-95.53955944979108,1,9.349459409713745,16.353992700576782
44,55,12,19.001805016953085,2,16.469030618667603,21.13005805015564
27,10,18,54.13114921028992,3,21.144278526306152,23.6120867729187
10,87,7,29.326164987520045,4,23.62589979171753,35.424957513809204
30,47,24,-99.65062921024148,5,35.563982009887695,40.53711485862732
22,63,6,24.36659906439749,6,40.550983905792236,47.40817975997925
22,59,10,26.082199187075602,7,47.42225623130798,53.66693425178528
17,93,22,-240.35011752612067,8,53.681238651275635,63.505411863327026
14,44,16,-26.40018522940933,9,63.52008533477783,69.85563397407532
29,10,20,51.90257757390684,10,70.00047326087952,73.75209403038025
27,12,24,13.631871095847728,11,73.89798879623413,77.46122455596924
11,10,14,39.18108235556524,12,77.78880333900452,82.1776909828186
24,10,21,30.00457497245192,13,82.3154673576355,85.19334530830383
34,11,18,25.440861753157563,14,85.32848787307739,88.71247386932373
35,10,18,-7.831746720603078,15,88.84579920768738,91.5661404132843
30,10,20,58.494160060999576,16,91.91284275054932,95.09851622581482
31,10,19,-30.832756511819916,17,95.24073600769043,97.88058876991272
26,10,19,5.492347770640379,18,98.00820207595825,101.37088656425476
32,10,20,-44.04674375669009,19,101.4992904663086,104.31600713729858
30,18,21,-8.643868579249258,20,104.45448756217957,108.63168334960938
30,10,17,28.778896939471863,21,108.76578783988953,112.18126893043518
30,11,21,-18.85110973993939,22,112.3175950050354,115.21959686279297
28,11,18,-41.721326717766374,23,115.36131167411804,118.09503316879272
30,10,22,-6.9705439174322805,24,118.23812317848206,120.83490490913391
10,18,14,-24.28011826558361,25,120.98167371749878,125.87625288963318
10,91,10,-44.47043663469201,26,126.02140808105469,138.99370121955872
30,10,21,21.820618409233276,27,139.14117884635925,143.01523303985596
30,10,19,59.0652388162289,28,143.15523767471313,145.9854395389557
13,100,7,11.616153265213782,29,146.12091946601868,158.62270617485046
