p:BATCH_SIZE,p:EPOCHS,p:LATENT_DIM,objective,job_id,m:timestamp_submit,m:timestamp_gather
33,56,6,29.455086111067274,0,0.01274871826171875,5.849905014038086
43,72,8,37.16390499476922,1,5.864160776138306,11.395471572875977
13,37,17,-35.71248225591968,2,11.409733772277832,16.178529739379883
14,56,7,26.28804142932121,3,16.19332718849182,22.60831928253174
20,16,8,23.945126999732025,4,22.622724533081055,26.6007297039032
27,13,8,-3.5046980142389685,5,26.614602088928223,29.839898824691772
16,98,23,-0.5106585705575668,6,29.853614807128906,38.43930768966675
27,35,8,35.841936762582655,7,38.45490789413452,43.206717014312744
40,49,22,-15.651989337186691,8,43.22188138961792,47.64539051055908
42,74,4,57.80172694906067,9,47.659948110580444,52.72619032859802
42,76,11,45.18776904026189,10,52.84846019744873,57.74388837814331
42,74,13,-61.91906881005864,11,57.863627433776855,62.5665545463562
42,74,9,59.99301995458968,12,62.694430351257324,68.16807150840759
42,74,10,24.21018689017032,13,68.29398441314697,73.47459936141968
42,81,12,10.123194528458953,14,73.6097149848938,78.5044424533844
41,93,9,21.854359740242373,15,78.63698530197144,84.01811218261719
42,80,9,45.791478719832014,16,84.14797925949097,89.1006727218628
40,74,9,3.819721355811396,17,89.22998237609863,95.15478348731995
40,76,4,60.08118818362436,18,95.46015310287476,101.09373474121094
40,88,5,36.729520209765006,19,101.23886346817017,107.45153164863586
40,12,4,14.010163372823868,20,107.586270570755,110.68574976921082
16,76,4,21.010860407577425,21,110.81651949882507,118.21466875076294
35,76,4,39.19177426256751,22,118.34634470939636,123.84588551521301
40,63,4,38.63804985434999,23,124.17726135253906,129.59874939918518
40,93,4,33.51839141350156,24,129.74120783805847,136.77256417274475
42,59,9,26.747696451668816,25,136.9076952934265,141.965567111969
40,80,4,55.93728141899303,26,142.1013903617859,147.5501570701599
42,71,9,41.10085911048664,27,147.68454718589783,152.67544078826904
42,84,11,29.670715933487074,28,153.03473281860352,158.31162357330322
41,74,9,30.445416117625456,29,158.45055747032166,164.79634547233582
